dteday,hr,season,atemp,cnt,workingday,holiday,weathersit,casual,registered,temp,hum,windspeed,season_name,time_period
2011-01-01,0,1,14.395,16,0,0,1,3,13,0.24,0.81,0.0,Winter,Late night (00:00-05:00)
2011-01-01,1,1,13.635,40,0,0,1,8,32,0.22,0.8,0.0,Winter,Late night (00:00-05:00)
2011-01-01,2,1,13.635,32,0,0,1,5,27,0.22,0.8,0.0,Winter,Late night (00:00-05:00)
2011-01-01,3,1,14.395,13,0,0,1,3,10,0.24,0.75,0.0,Winter,Late night (00:00-05:00)
2011-01-01,4,1,14.395,1,0,0,1,0,1,0.24,0.75,0.0,Winter,Late night (00:00-05:00)
2011-01-01,5,1,12.879999999999999,1,0,0,2,0,1,0.24,0.75,0.0896,Winter,Late night (00:00-05:00)
2011-01-01,6,1,13.635,2,0,0,1,2,0,0.22,0.8,0.0,Winter,Morning rush (06:00-09:00)
2011-01-01,7,1,12.879999999999999,3,0,0,1,1,2,0.2,0.86,0.0,Winter,Morning rush (06:00-09:00)
2011-01-01,8,1,14.395,8,0,0,1,1,7,0.24,0.75,0.0,Winter,Morning rush (06:00-09:00)
2011-01-01,9,1,17.424999999999997,14,0,0,1,8,6,0.32,0.76,0.0,Winter,Morning rush (06:00-09:00)
2011-01-01,10,1,19.695,36,0,0,1,12,24,0.38,0.76,0.2537,Winter,Midday (10:00-15:00)
2011-01-01,11,1,16.665,56,0,0,1,26,30,0.36,0.81,0.2836,Winter,Midday (10:00-15:00)
2011-01-01,12,1,21.21,84,0,0,1,29,55,0.42,0.77,0.2836,Winter,Midday (10:00-15:00)
2011-01-01,13,1,22.725,94,0,0,2,47,47,0.46,0.72,0.2985,Winter,Midday (10:00-15:00)
2011-01-01,14,1,22.725,106,0,0,2,35,71,0.46,0.72,0.2836,Winter,Midday (10:00-15:00)
2011-01-01,15,1,21.97,110,0,0,2,40,70,0.44,0.77,0.2985,Winter,Midday (10:00-15:00)
2011-01-01,16,1,21.21,93,0,0,2,41,52,0.42,0.82,0.2985,Winter,Evening rush (16:00-19:00)
2011-01-01,17,1,21.97,67,0,0,2,15,52,0.44,0.82,0.2836,Winter,Evening rush (16:00-19:00)
2011-01-01,18,1,21.21,35,0,0,3,9,26,0.42,0.88,0.2537,Winter,Evening rush (16:00-19:00)
2011-01-01,19,1,21.21,37,0,0,3,6,31,0.42,0.88,0.2537,Winter,Evening rush (16:00-19:00)
2011-01-01,20,1,20.455000000000002,36,0,0,2,11,25,0.4,0.87,0.2537,Winter,Evening (20:00-23:00)
2011-01-01,21,1,20.455000000000002,34,0,0,2,3,31,0.4,0.87,0.194,Winter,Evening (20:00-23:00)
2011-01-01,22,1,20.455000000000002,28,0,0,2,11,17,0.4,0.94,0.2239,Winter,Evening (20:00-23:00)
2011-01-01,23,1,22.725,39,0,0,2,15,24,0.46,0.88,0.2985,Winter,Evening (20:00-23:00)
2011-01-02,0,1,22.725,17,0,0,2,4,13,0.46,0.88,0.2985,Winter,Late night (00:00-05:00)
2011-01-02,1,1,21.97,17,0,0,2,1,16,0.44,0.94,0.2537,Winter,Late night (00:00-05:00)
2011-01-02,2,1,21.21,9,0,0,2,1,8,0.42,1.0,0.2836,Winter,Late night (00:00-05:00)
2011-01-02,3,1,22.725,6,0,0,2,2,4,0.46,0.94,0.194,Winter,Late night (00:00-05:00)
2011-01-02,4,1,22.725,3,0,0,2,2,1,0.46,0.94,0.194,Winter,Late night (00:00-05:00)
2011-01-02,6,1,21.21,2,0,0,3,0,2,0.42,0.77,0.2985,Winter,Morning rush (06:00-09:00)
2011-01-02,7,1,20.455000000000002,1,0,0,2,0,1,0.4,0.76,0.194,Winter,Morning rush (06:00-09:00)
2011-01-02,8,1,20.455000000000002,8,0,0,3,0,8,0.4,0.71,0.2239,Winter,Morning rush (06:00-09:00)
2011-01-02,9,1,19.695,20,0,0,2,1,19,0.38,0.76,0.2239,Winter,Morning rush (06:00-09:00)
2011-01-02,10,1,17.424999999999997,53,0,0,2,7,46,0.36,0.81,0.2239,Winter,Midday (10:00-15:00)
